# Credits: EU Copernicus Marine Service information - https://marine.copernicus.eu
# Product: GLOBAL_ANALYSISFORECAST_BGC_001_028
# Dataset: cmems_mod_glo_bgc-pft_anfc_0.25deg_P1D-m
# Variable: Mass concentration of chlorophyll a in sea water (chl) mg m-3
# Geometry: POINT(13.953470896553462 -26.553829050824024)
# Values from graph: v(h): value vs. elevation
# Date: 02/01/2023 00:00

depth,chl
0.4940253794193268,3.4377601146698
1.5413753986358643,3.4367284774780273
2.6456685066223145,3.433513879776001
3.8194947242736816,3.427579402923584
5.078223705291748,3.418520450592041
6.440614223480225,3.404538631439209
7.92956018447876,3.3811562061309814
9.572997093200684,3.3490567207336426
11.40500259399414,3.3033711910247803
13.467138290405273,3.233992338180542
15.810072898864746,3.1040096282958984
18.495559692382812,2.8741211891174316
21.59881591796875,2.5466692447662354
25.211408615112305,2.1767852306365967
29.44472885131836,1.7617464065551758
34.43415451049805,1.2900363206863403
40.344051361083984,0.7839001417160034
47.373687744140625,0.3699456453323364
55.76428985595703,0.18838205933570862
65.8072738647461,0.10424511879682541
77.85385131835938,0.06314631551504135
92.3260726928711,0.040164679288864136
109.72927856445312,0.02700301632285118
130.66598510742188,0.020640259608626366
155.85072326660156,0.015832876786589622
186.1255645751953,0.011178407818078995
222.4751739501953,0.007638073991984129
266.0402526855469,0.00584908202290535
318.12744140625,0.005140959285199642
380.2130126953125,0.00482553755864501
453.937744140625,0
541.0889282226562,0
643.5668334960938,0
763.3330688476562,0
902.3392944335938,0
